filepath,happy,surprise,sad,angry,disgust,fear
/archive/test/angry/PrivateTest_10131363.jpg,0.44,0.07,0.05,0.05,0.00,0.38
/archive/test/angry/PrivateTest_10304478.jpg,0.00,0.00,0.12,0.06,0.00,0.82
/archive/test/angry/PrivateTest_1054527.jpg,0.07,0.00,0.29,0.52,0.00,0.12
/archive/test/angry/PrivateTest_10590091.jpg,0.72,0.00,0.00,0.28,0.00,0.01
/archive/test/angry/PrivateTest_1109992.jpg,0.01,0.00,0.00,0.99,0.00,0.00
/archive/test/angry/PrivateTest_11296953.jpg,0.00,0.00,0.00,0.17,0.00,0.83
/archive/test/angry/PrivateTest_12000629.jpg,0.01,0.00,0.00,0.98,0.00,0.00
/archive/test/angry/PrivateTest_12008383.jpg,0.04,0.00,0.00,0.00,0.00,0.96
/archive/test/angry/PrivateTest_12191716.jpg,0.26,0.00,0.52,0.18,0.00,0.05
/archive/test/angry/PrivateTest_1221822.jpg,0.00,0.00,0.00,1.00,0.00,0.00
/archive/test/angry/PrivateTest_12403575.jpg,0.00,0.00,0.00,0.44,0.18,0.37
/archive/test/angry/PrivateTest_12766285.jpg,0.05,0.00,0.00,0.87,0.00,0.08
/archive/test/angry/PrivateTest_12846357.jpg,0.00,0.00,0.00,1.00,0.00,0.00
/archive/test/angry/PrivateTest_1290484.jpg,0.09,0.00,0.38,0.51,0.00,0.02
/archive/test/angry/PrivateTest_12912780.jpg,0.04,0.00,0.75,0.02,0.00,0.19
/archive/test/angry/PrivateTest_13164119.jpg,0.00,0.00,0.00,1.00,0.00,0.00
/archive/test/angry/PrivateTest_13278552.jpg,0.00,0.00,0.00,0.78,0.00,0.22
/archive/test/angry/PrivateTest_13463625.jpg,0.09,0.00,0.00,0.82,0.00,0.09
/archive/test/angry/PrivateTest_13541561.jpg,0.01,0.00,0.92,0.00,0.00,0.07
/archive/test/angry/PrivateTest_13664224.jpg,0.00,0.00,0.00,0.83,0.00,0.17
/archive/test/angry/PrivateTest_14325168.jpg,1.00,0.00,0.00,0.00,0.00,0.00
/archive/test/angry/PrivateTest_14426977.jpg,0.02,0.01,0.44,0.44,0.00,0.09
/archive/test/angry/PrivateTest_14433751.jpg,0.00,0.00,0.00,1.00,0.00,0.00
/archive/test/angry/PrivateTest_14444117.jpg,0.00,0.00,0.00,1.00,0.00,0.00
/archive/test/angry/PrivateTest_14482875.jpg,0.00,0.00,0.00,1.00,0.00,0.00
/archive/test/angry/PrivateTest_14494003.jpg,0.02,0.00,0.03,0.02,0.00,0.92
/archive/test/angry/PrivateTest_14565821.jpg,0.01,0.00,0.00,0.02,0.00,0.96
/archive/test/angry/PrivateTest_14596578.jpg,0.11,0.00,0.08,0.80,0.00,0.01
/archive/test/angry/PrivateTest_14740105.jpg,0.01,0.00,0.00,0.95,0.00,0.04
/archive/test/angry/PrivateTest_14769246.jpg,0.02,0.00,0.01,0.95,0.00,0.02
/archive/test/angry/PrivateTest_1488292.jpg,0.00,0.00,0.00,0.99,0.00,0.01
/archive/test/angry/PrivateTest_14887556.jpg,0.01,0.00,0.64,0.23,0.00,0.12
/archive/test/angry/PrivateTest_15489614.jpg,0.01,0.00,0.85,0.01,0.00,0.13
/archive/test/angry/PrivateTest_15827448.jpg,0.00,0.02,0.70,0.07,0.03,0.17
/archive/test/angry/PrivateTest_15855670.jpg,0.01,0.00,0.00,0.99,0.00,0.00
/archive/test/angry/PrivateTest_1623042.jpg,0.00,0.00,0.00,0.45,0.12,0.44
/archive/test/angry/PrivateTest_16345756.jpg,0.00,0.00,0.00,1.00,0.00,0.00
/archive/test/angry/PrivateTest_16834914.jpg,1.00,0.00,0.00,0.00,0.00,0.00
/archive/test/angry/PrivateTest_17503955.jpg,0.02,0.00,0.00,0.02,0.00,0.95
/archive/test/angry/PrivateTest_17952984.jpg,0.15,0.00,0.00,0.85,0.00,0.00
/archive/test/angry/PrivateTest_1809180.jpg,0.16,0.00,0.08,0.08,0.00,0.68
/archive/test/angry/PrivateTest_18151590.jpg,0.00,0.00,0.03,0.76,0.01,0.19
/archive/test/angry/PrivateTest_18347688.jpg,0.00,0.00,0.00,1.00,0.00,0.00
/archive/test/angry/PrivateTest_1850005.jpg,0.00,0.00,0.00,0.00,0.00,1.00
